codigo,nombre,categoria,descripcion,precio,stock,imagen
XD138572,Brother Rotary Hook,bobbin cases,Brother rotary hook - Compatible con máquinas Brother,150.00,5,
AG001,Agujas Schmetz Universal 80/12,needles,Paquete de 5 agujas universales calibre 80/12,45.00,20,
AG002,Agujas Schmetz Jeans 90/14,needles,Paquete de 5 agujas para mezclilla calibre 90/14,50.00,15,
AG003,Agujas Schmetz Stretch 75/11,needles,Paquete de 5 agujas para tela elástica calibre 75/11,48.00,18,
BOB001,Bobinas de metal,bobbin cases,Set de 10 bobinas metálicas universales,25.00,50,
BOB002,Caja de bobinas Brother,bobbin cases,Caja portabobinas para máquinas Brother,80.00,12,
CUC001,Cuchilla Rotativa 45mm,knife,Cuchilla rotativa para corte de tela 45mm,95.00,8,
CUC002,Tijeras de costura 8 pulgadas,knife,Tijeras profesionales de acero inoxidable,120.00,10,
CUC003,Cuchilla para overlock,knife,Cuchilla de repuesto para máquinas overlock,65.00,6,
HIL001,Hilo poliéster blanco,thread,Carrete de 1000m hilo poliéster blanco,35.00,100,
HIL002,Hilo poliéster negro,thread,Carrete de 1000m hilo poliéster negro,35.00,100,
HIL003,Hilo de bordar multicolor,thread,Set de 12 carretes de hilo para bordar,280.00,15,
PED001,Pedal universal,pedal,Pedal de control universal para máquinas de coser,180.00,7,
PED002,Pedal electrónico Brother,pedal,Pedal electrónico original Brother,320.00,4,
MOT001,Motor 220V 100W,motor,Motor universal para máquina de coser doméstica,450.00,3,
MOT002,Motor industrial 550W,motor,Motor para máquina industrial trifásico,1200.00,2,
BAN001,Banda de transmisión tipo A,belt,Banda para transmisión de motor tipo A,45.00,25,
BAN002,Banda de transmisión tipo B,belt,Banda para transmisión de motor tipo B,50.00,20,
PIE001,Prensatelas universal,presser foot,Prensatelas universal para máquinas domésticas,55.00,30,
PIE002,Prensatelas para zipper,presser foot,Prensatelas especial para coser cierres,60.00,25,
PIE003,Prensatelas para ojales,presser foot,Prensatelas automático para hacer ojales,85.00,15,
ACE001,Aceite para máquina de coser,accessories,Aceite lubricante 100ml,30.00,40,
ACE002,Kit de limpieza,accessories,Kit completo de limpieza y mantenimiento,120.00,10,
LUZ001,Foco LED para máquina,light,Foco LED de repuesto para máquina de coser,75.00,12,
CAR001,Carretel porta hilos,spool,Carretel vertical para máquinas domésticas,40.00,20,
DEV001,Devanador automático,winder,Devanador automático de bobinas,95.00,8,
